tomato_id,label,class_name,is_cherry,source_file,transit_len,valid_slices,IR1_mean,IR2_mean,Green_mean,Red_mean,Blue_mean,IR3_mean,SAT_mean,HUE_mean,IR1_std,Green_std,Red_std,SAT_std,HUE_std,Red_Green_ratio,IR1_IR2_ratio,IR3_IR2_ratio
tomato_0001,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,24,9,2770.5555555555557,2081.222222222222,1523.888888888889,1920.7777777777778,635.1111111111111,2819.3333333333335,8420.888888888889,1434.6666666666667,1258.2325014788712,688.2184327022279,871.6445344545243,201.41092599735276,73.59857335573835,1.2604447602304025,1.3312156254439482,1.3546527082420188
tomato_0002,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,9,4,1339.0,1012.75,764.75,946.5,333.0,1344.5,8093.5,1449.25,150.82219111700152,77.68901681276017,99.31263766510283,112.5892238774801,33.509948771471834,1.2376593496219765,1.3221426677645751,1.327573425548522
tomato_0003,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,12,5,1355.2,1060.2,1022.4,1073.0,610.8,1393.2,5363.4,1833.2,297.5847778365016,193.9492201582672,199.32260283269432,159.30568100353483,62.21896816887917,1.0494913825362737,1.278249374851449,1.314091668420188
tomato_0004,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,21,8,3017.0,2370.5,2292.125,2372.375,1440.375,3062.875,4992.875,1896.375,1325.8364475734877,973.5628877625581,1011.4135705606711,251.550300280935,25.56189966113071,1.0350111750667559,1.2727272673582481,1.2920797245641014
tomato_0005,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,24,9,2904.8888888888887,2147.5555555555557,1998.0,2121.4444444444443,1097.3333333333333,2989.8888888888887,6090.111111111111,1812.888888888889,1251.2247444448624,853.1759783303794,900.2086023682388,293.9287517598629,33.72849108856059,1.0617840009142163,1.3526490003239644,1.3922288842456227
tomato_0006,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,15,6,1815.5,1366.1666666666667,1181.5,1278.5,629.1666666666666,1833.1666666666667,6347.666666666667,1764.5,429.80262912178654,269.6328985862074,290.0680954534642,74.06123592451497,40.46109242222706,1.082099017502336,1.3289008076449862,1.3418323678772792
tomato_0007,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,24,9,2787.1111111111113,2082.0,1898.0,2118.8888888888887,1018.4444444444445,2807.8888888888887,6517.0,1650.4444444444443,1295.5236821884466,880.1448744382939,987.4195466523392,126.89365626381802,25.426910503987262,1.1163798091280772,1.338670075756201,1.3486497960626276
tomato_0008,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,33,8,3606.75,2861.375,2813.125,2990.75,1755.75,3784.625,5185.0,1770.0,1457.413437762747,1136.5693288513967,1209.2301860510856,378.1099613302232,0.0,1.0631415203265353,1.2604953867965736,1.3226595559035095
tomato_0009,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,24,9,2105.222222222222,1547.2222222222222,1321.4444444444443,1662.7777777777778,563.5555555555555,2215.5555555555557,8232.333333333334,1423.111111111111,894.7169633154634,551.3309149483437,701.0400804835944,110.54750110246727,49.321507591628944,1.2583031940429423,1.3606463107749969,1.4319569027737078
tomato_0010,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,24,9,2545.0,1929.4444444444443,1593.0,1960.4444444444443,765.2222222222222,2588.1111111111113,7714.111111111111,1423.2222222222222,1081.6435410984527,671.0512275527108,813.1033315500422,288.78601266527977,59.97244737747864,1.230661915968503,1.3190325298754433,1.3413763247495614
tomato_0011,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,21,8,2347.375,1801.5,1679.75,1902.5,927.75,2422.875,6390.5,1596.75,925.2196553869171,641.5496306377462,735.0236147809908,166.4529105440077,45.3895834494467,1.132609012456562,1.3030113721731258,1.344920891785063
tomato_0012,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,24,9,2976.3333333333335,2270.3333333333335,2162.5555555555557,2444.3333333333335,1193.7777777777778,3102.4444444444443,6473.888888888889,1608.2222222222222,1271.3150671647056,943.9257268333022,1064.157530631626,528.7124559825606,99.71807481316736,1.130298509904595,1.3109675467142816,1.3665149452852567
tomato_0013,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,12,5,1573.6,1256.0,1087.8,1146.6,674.4,1594.8,5165.6,1805.2,295.29527595273174,188.4295624364712,184.54078140075165,280.4011412244964,88.840868973688,1.054054044364276,1.252866232063167,1.2697452128204998
tomato_0014,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,27,10,3268.9,2521.3,2278.5,2447.4,1293.6,3372.9,5912.3,1780.7,1644.508535162473,1124.0610155443817,1221.0019747003778,365.37957432419967,137.11718427032486,1.074127710888182,1.2965136981060812,1.337762260192114
tomato_0015,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,30,11,3676.6363636363635,2835.2727272727275,2642.818181818182,2760.818181818182,1606.7272727272727,3782.818181818182,5339.818181818182,1855.8181818181818,1792.0137986481727,1291.4621804901465,1340.9310062924055,363.5672752550257,32.532501231286176,1.0446493029166033,1.2967487449454158,1.3341990462113025
tomato_0016,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,24,9,2876.1111111111113,2169.222222222222,1882.7777777777778,2356.4444444444443,836.6666666666666,3066.6666666666665,8079.555555555556,1423.0,1180.0373346259478,747.679539939702,945.4155318048132,209.9488694367697,39.131189606246316,1.2515786301184963,1.3258720422410242,1.4137171476087411
tomato_0017,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,24,9,3343.8888888888887,2532.777777777778,2125.8888888888887,2552.222222222222,1040.888888888889,3406.8888888888887,7442.0,1488.888888888889,1388.2401129167501,865.8061914257204,1050.5184169944116,328.9259035101979,50.49119835289227,1.2005435578294612,1.3202456626969898,1.345119538448749
tomato_0018,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,18,7,1808.142857142857,1338.0,1140.857142857143,1357.0,531.4285714285714,1900.2857142857142,7613.714285714285,1517.142857142857,575.3246702432256,370.0564950434049,435.4690957270485,137.60900441191373,26.079548637636677,1.189456538534691,1.3513773121293602,1.420243423081674
